disease,symptoms,precautions,advice,recommended_doctor
Gaucher Disease,bone pain,consult a qualified doctor|seek urgent medical care if symptoms are severe,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Guillain-Barre Syndrome,tingling|weakness,consult a qualified doctor|rest|seek urgent medical care if symptoms are severe,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Head and Neck Cancer,hoarseness|sore throat,consult a qualified doctor|rest,"Book a consultation with a Ophthalmologist if symptoms persist, worsen, or interfere with daily life.",Ophthalmologist
Heart Diseases,chest pain|high blood pressure,consult a qualified doctor|rest|seek urgent medical care if symptoms are severe,Seek urgent medical care immediately and contact a ENT Specialist if available.,ENT Specialist
Hemorrhagic Fevers,fever,consult a qualified doctor|drink fluids|rest,"Book a consultation with a Hematologist if symptoms persist, worsen, or interfere with daily life.",Hematologist
Huntington's Disease,balance problems,consult a qualified doctor|seek urgent medical care if symptoms are severe,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Infectious Diseases,sneezing,consult a qualified doctor|rest|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Intestinal Cancer,abdominal pain|weight loss,consult a qualified doctor,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Kawasaki Disease,fever|rash,consult a qualified doctor|drink fluids|rest|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Kidney Cancer,loss of appetite|weight loss,consult a qualified doctor,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Kidney Diseases,high blood pressure,consult a qualified doctor|rest,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Knee Injuries and Disorders,swelling,consult a qualified doctor|rest|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Liver Cancer,a lump|yellowing of the skin,consult a qualified doctor|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Liver Diseases,swelling,consult a qualified doctor|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Lymphatic Diseases,swelling,consult a qualified doctor|rest,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Malabsorption Syndromes,diarrhea|weight loss,consult a qualified doctor|drink fluids|rest,"Book a consultation with a Gastroenterologist if symptoms persist, worsen, or interfere with daily life.",Gastroenterologist
Mental Disorders,anxiety|depression,consult a qualified doctor|rest,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Metabolic Syndrome,high blood pressure|weight gain,consult a qualified doctor|seek urgent medical care if symptoms are severe,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Mood Disorders,depression,consult a qualified doctor,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Movement Disorders,tremor,consult a qualified doctor|rest|seek urgent medical care if symptoms are severe,"Book a consultation with a Neurologist if symptoms persist, worsen, or interfere with daily life.",Neurologist
Muscle Disorders,weakness,consult a qualified doctor|rest,"Book a consultation with a Neurologist if symptoms persist, worsen, or interfere with daily life.",Neurologist
Obsessive-Compulsive Disorder,anxiety disorders|anxiety,consult a qualified doctor|rest,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Pancreatic Cancer,fatigue|weight loss,consult a qualified doctor|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Parkinson's Disease,depression,consult a qualified doctor|seek urgent medical care if symptoms are severe,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Pelvic Inflammatory Disease,fever,consult a qualified doctor|drink fluids|rest,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Pericardial Disorders,chest pain|fever,consult a qualified doctor|drink fluids|rest|seek urgent medical care if symptoms are severe,Seek urgent medical care immediately and contact a ENT Specialist if available.,ENT Specialist
Peripheral Arterial Disease,high blood pressure|numbness,consult a qualified doctor|avoid scratching irritated areas|seek urgent medical care if symptoms are severe,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Personality Disorders,anxiety,consult a qualified doctor,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Prader-Willi Syndrome,weight gain,consult a qualified doctor,"Book a consultation with a Ophthalmologist if symptoms persist, worsen, or interfere with daily life.",Ophthalmologist
Rett Syndrome,balance problems,consult a qualified doctor,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Salivary Gland Cancer,numbness|weakness,consult a qualified doctor|rest,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Salivary Gland Disorders,swelling,consult a qualified doctor|rest,"Book a consultation with a General Physician if symptoms persist, worsen, or interfere with daily life.",General Physician
Seasonal Affective Disorder,depression|weight gain,consult a qualified doctor,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Shoulder Injuries and Disorders,swelling,consult a qualified doctor|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Sickle Cell Disease,fatigue|swelling,consult a qualified doctor|rest|avoid scratching irritated areas|seek urgent medical care if symptoms are severe,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Skin Infections,itching|swelling,consult a qualified doctor|rest|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Spinal Cord Diseases,numbness|weakness,consult a qualified doctor|rest,"Book a consultation with a Neurologist if symptoms persist, worsen, or interfere with daily life.",Neurologist
Stomach Cancer,vomiting|weight loss,consult a qualified doctor|drink fluids|rest,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Streptococcal Infections,fever|rash,consult a qualified doctor|drink fluids|rest|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Tailbone Disorders,numbness,consult a qualified doctor|rest,"Book a consultation with a Neurologist if symptoms persist, worsen, or interfere with daily life.",Neurologist
Thyroid Cancer,hoarseness|swelling,consult a qualified doctor,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Tinea Infections,itching|rash,consult a qualified doctor|rest|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Tongue Disorders,swelling,consult a qualified doctor,"Book a consultation with a Orthopedic Specialist if symptoms persist, worsen, or interfere with daily life.",Orthopedic Specialist
Tourette Syndrome,anxiety|depression,consult a qualified doctor|seek urgent medical care if symptoms are severe,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Turner Syndrome,high blood pressure,consult a qualified doctor|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Vascular Diseases,high blood pressure,consult a qualified doctor|rest|avoid scratching irritated areas|seek urgent medical care if symptoms are severe,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Yeast Infections,itching,consult a qualified doctor|rest|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Acoustic Neuroma,balance problems|dizziness|numbness,consult a qualified doctor,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Alpha-1 Antitrypsin Deficiency,chest pain|cough|fatigue|shortness of breath|swelling|wheezing,consult a qualified doctor|rest|avoid scratching irritated areas|seek urgent medical care if symptoms are severe,Seek urgent medical care immediately and contact a Dermatologist if available.,Dermatologist
Anaphylaxis,chest pain|diarrhea|dizziness|fainting|itching|runny nose|shortness of breath|sneezing|swelling|vomiting|wheezing,consult a qualified doctor|drink fluids|rest|avoid scratching irritated areas|seek urgent medical care if symptoms are severe,Seek urgent medical care immediately and contact a Dermatologist if available.,Dermatologist
Ankylosing Spondylitis,back pain|fatigue|loss of appetite|swelling|weight loss,consult a qualified doctor|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Antibiotics,diarrhea|nausea|rash,consult a qualified doctor|drink fluids|rest|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Antidepressants,anxiety|depression|diarrhea|nausea|vomiting|weight gain,consult a qualified doctor|drink fluids,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Anxiety,anxiety|dizziness|shortness of breath,consult a qualified doctor|seek urgent medical care if symptoms are severe,Seek urgent medical care immediately and contact a ENT Specialist if available.,ENT Specialist
Arrhythmia,chest pain|dizziness|fainting|shortness of breath|swelling|weakness,consult a qualified doctor|rest|seek urgent medical care if symptoms are severe,Seek urgent medical care immediately and contact a ENT Specialist if available.,ENT Specialist
Arteriovenous Malformations,confusion|dizziness|headache|seizures|weakness,consult a qualified doctor|seek urgent medical care if symptoms are severe,Seek urgent medical care immediately and contact a Ophthalmologist if available.,Ophthalmologist
Atherosclerosis,a hrefhttpsmedlineplus|severe pain after meals|weight loss|chest pain|diarrhea|high blood pressure|numbness|palpitations|shortness of breath|weakness,consult a qualified doctor|drink fluids|seek urgent medical care if symptoms are severe,Seek urgent medical care immediately and contact a Ophthalmologist if available.,Ophthalmologist
Blood Clots,abdominal pain|chest pain|headache|nausea|seizures|shortness of breath|swelling|vomiting|weakness,consult a qualified doctor|drink fluids|avoid scratching irritated areas|seek urgent medical care if symptoms are severe,Seek urgent medical care immediately and contact a Dermatologist if available.,Dermatologist
Blood Glucose,anxiety|blurred vision|confusion|dizziness|headache,consult a qualified doctor|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Blood Thinners,diarrhea|dizziness|headache|nausea|weakness,consult a qualified doctor|drink fluids|rest|seek urgent medical care if symptoms are severe,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Body Lice,fever|itching|rash,consult a qualified doctor|drink fluids|rest|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Botulism,blurred vision|drooping eyelids|slurred speech|difficulty swallowing|dry mouth|muscle weakness|weakness,consult a qualified doctor|rest,"Book a consultation with a Ophthalmologist if symptoms persist, worsen, or interfere with daily life.",Ophthalmologist
Brain Tumors,nausea|seizures|vomiting,consult a qualified doctor|drink fluids|seek urgent medical care if symptoms are severe,Seek urgent medical care immediately and contact a ENT Specialist if available.,ENT Specialist
Cellulitis,chills|fever|rash,consult a qualified doctor|drink fluids|rest|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Cerebral Palsy,seizures|tremor|weakness,consult a qualified doctor|drink fluids|rest|avoid scratching irritated areas|seek urgent medical care if symptoms are severe,Seek urgent medical care immediately and contact a Dermatologist if available.,Dermatologist
Chiari Malformation,balance problems|difficulty swallowing|dizziness|numbness,consult a qualified doctor|seek urgent medical care if symptoms are severe,"Book a consultation with a Ophthalmologist if symptoms persist, worsen, or interfere with daily life.",Ophthalmologist
Chickenpox,fever|headache|itching|loss of appetite|rash,consult a qualified doctor|drink fluids|rest|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Childhood Brain Tumors,headache|nausea|seizures|vomiting,consult a qualified doctor|drink fluids|seek urgent medical care if symptoms are severe,Seek urgent medical care immediately and contact a Ophthalmologist if available.,Ophthalmologist
Cholera,dehydration|diarrhea|vomiting,consult a qualified doctor|drink fluids|rest,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Cirrhosis,high blood pressure|itching|swelling,consult a qualified doctor|rest,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Concussion,a headache|neck pain|confusion|dizziness|headache|nausea|numbness|seizures|vomiting|weakness,consult a qualified doctor|drink fluids|seek urgent medical care if symptoms are severe,Seek urgent medical care immediately and contact a Ophthalmologist if available.,Ophthalmologist
Congenital Heart Defects,depending on the type|number of defects|how serious they are|fatigue|high blood pressure,consult a qualified doctor|rest|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
COPD,getting worse|a a hrefhttpsmedlineplus|cough|fever|shortness of breath|swelling|weakness|weight loss|wheezing,consult a qualified doctor|drink fluids|rest|avoid scratching irritated areas|seek urgent medical care if symptoms are severe,Seek urgent medical care immediately and contact a Dermatologist if available.,Dermatologist
Croup,usually worse at night|cough|fever|hoarseness,consult a qualified doctor|drink fluids|rest|avoid scratching irritated areas,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Cryptosporidiosis,dehydration|diarrhea|fever|nausea|vomiting|weight loss,consult a qualified doctor|drink fluids|rest|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Deep Vein Thrombosis,pul li warmth|break up clots|keep new clots from forming|swelling,consult a qualified doctor|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Delirium,confusion|dehydration|depression|memory loss,consult a qualified doctor|drink fluids|rest|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Dementia,anxiety|depression|high blood pressure,consult a qualified doctor|rest|avoid scratching irritated areas|seek urgent medical care if symptoms are severe,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Diabetic Nerve Problems,constipation|diarrhea|dizziness|nausea|numbness|tingling|vomiting,consult a qualified doctor|drink fluids,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Diphtheria,fever|sore throat|weakness,consult a qualified doctor|drink fluids|rest,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Dislocated Shoulder,numbness|seizures|swelling|weakness,consult a qualified doctor|seek urgent medical care if symptoms are severe,Seek urgent medical care immediately and contact a ENT Specialist if available.,ENT Specialist
Diverticulosis and Diverticulitis,abdominal pain|bloating|chills|constipation|diarrhea|fever|nausea|vomiting,consult a qualified doctor|drink fluids|rest,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Ebola,a a hrefhttpsmedlineplus|diarrhea|fatigue|fever|headache|loss of appetite|rash|sore throat|stomach pain|vomiting|weakness,consult a qualified doctor|drink fluids|rest|avoid scratching irritated areas,"Book a consultation with a Ophthalmologist if symptoms persist, worsen, or interfere with daily life.",Ophthalmologist
Emphysema,getting worse|a a hrefhttpsmedlineplus|cough|fever|shortness of breath|swelling|weakness|weight loss|wheezing,consult a qualified doctor|drink fluids|rest|avoid scratching irritated areas|seek urgent medical care if symptoms are severe,Seek urgent medical care immediately and contact a Dermatologist if available.,Dermatologist
Encephalitis,fatigue|fever|headache|seizures|swelling|vomiting|weakness,consult a qualified doctor|drink fluids|rest|avoid scratching irritated areas|seek urgent medical care if symptoms are severe,Seek urgent medical care immediately and contact a Dermatologist if available.,Dermatologist
Endocarditis,back pain|chest pain|chills|cough|fever|shortness of breath,consult a qualified doctor|drink fluids|rest|avoid scratching irritated areas|seek urgent medical care if symptoms are severe,Seek urgent medical care immediately and contact a Dermatologist if available.,Dermatologist
Fibromyalgia,anxiety|depression|fatigue|headache|numbness|tingling,consult a qualified doctor|avoid scratching irritated areas|seek urgent medical care if symptoms are severe,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Foodborne Illness,dehydration|diarrhea|fever|nausea|vomiting,consult a qualified doctor|drink fluids|rest,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Foot Health,high blood pressure|numbness|swelling|tingling,consult a qualified doctor,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Gangrene,a blue|black color|fever|numbness,consult a qualified doctor|drink fluids|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Germs and Hygiene,cough|diarrhea|sneezing|vomiting,consult a qualified doctor|drink fluids|rest|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Giant Cell Arteritis,dizziness|fatigue|fever|loss of appetite,consult a qualified doctor|drink fluids|rest|avoid scratching irritated areas|seek urgent medical care if symptoms are severe,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Gluten Sensitivity,abdominal pain|constipation|diarrhea|fatigue|headache|joint pain,consult a qualified doctor|drink fluids|avoid scratching irritated areas,"Book a consultation with a Ophthalmologist if symptoms persist, worsen, or interfere with daily life.",Ophthalmologist
Granulomatosis with Polyangiitis,joint pain|runny nose|weakness,consult a qualified doctor|rest,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Heart Attack,dizziness|heartburn|nausea|shortness of breath|vomiting,consult a qualified doctor|drink fluids|rest|seek urgent medical care if symptoms are severe,Seek urgent medical care immediately and contact a ENT Specialist if available.,ENT Specialist
Hemochromatosis,fatigue|joint pain|stomach pain|weakness|weight loss,consult a qualified doctor,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Hemorrhoids,constipation|diarrhea|itching|swelling,consult a qualified doctor|drink fluids|rest|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Hiatal Hernia,abdominal pain|chest pain|cough|heartburn|nausea|vomiting|weakness,consult a qualified doctor|drink fluids|rest|seek urgent medical care if symptoms are severe,Seek urgent medical care immediately and contact a ENT Specialist if available.,ENT Specialist
Histoplasmosis,chest pain|chills|cough|fatigue|fever|headache,consult a qualified doctor|drink fluids|rest|seek urgent medical care if symptoms are severe,Seek urgent medical care immediately and contact a ENT Specialist if available.,ENT Specialist
Hydrocephalus,balance problems|headache|nausea|vomiting,consult a qualified doctor|drink fluids|rest|seek urgent medical care if symptoms are severe,"Book a consultation with a Ophthalmologist if symptoms persist, worsen, or interfere with daily life.",Ophthalmologist
Hyperglycemia,blurred vision|confusion|headache|nausea|vomiting,consult a qualified doctor|drink fluids|rest,"Book a consultation with a Ophthalmologist if symptoms persist, worsen, or interfere with daily life.",Ophthalmologist
Hypoglycemia,anxiety|confusion|dizziness|weight loss,consult a qualified doctor,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Infectious Mononucleosis,dehydration|fatigue|fever|rash|sore throat,consult a qualified doctor|drink fluids|rest|avoid scratching irritated areas,"Book a consultation with a Ophthalmologist if symptoms persist, worsen, or interfere with daily life.",Ophthalmologist
Inhalation Injuries,chest pain|runny nose|shortness of breath,consult a qualified doctor|rest|seek urgent medical care if symptoms are severe,Seek urgent medical care immediately and contact a Ophthalmologist if available.,Ophthalmologist
Intestinal Obstruction,abdominal pain|bloating|constipation|swelling|vomiting,consult a qualified doctor|drink fluids,"Book a consultation with a Gastroenterologist if symptoms persist, worsen, or interfere with daily life.",Gastroenterologist
Kaposi Sarcoma,diarrhea|shortness of breath|swelling,consult a qualified doctor|drink fluids|rest|avoid scratching irritated areas|seek urgent medical care if symptoms are severe,Seek urgent medical care immediately and contact a Dermatologist if available.,Dermatologist
Lewy Body Dementia,changes in cognition|behaviorpul listrongdementiastrong|anxiety|depression|tremor,consult a qualified doctor|seek urgent medical care if symptoms are severe,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Low Blood Pressure,dizziness|fainting|high blood pressure,consult a qualified doctor,Seek urgent medical care immediately and contact a ENT Specialist if available.,ENT Specialist
Meningitis,fever|headache|hearing loss|nausea|vomiting,consult a qualified doctor|drink fluids|rest|seek urgent medical care if symptoms are severe,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Menstruation,back pain|bloating|fatigue|headache,consult a qualified doctor,"Book a consultation with a Gynecologist if symptoms persist, worsen, or interfere with daily life.",Gynecologist
Mesothelioma,constipation|cough|fatigue|swelling|weight loss,consult a qualified doctor|rest,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Mitral Valve Prolapse,anxiety|chest pain|cough|dizziness|fatigue|fever|high blood pressure|palpitations|shortness of breath,consult a qualified doctor|drink fluids|rest|avoid scratching irritated areas|seek urgent medical care if symptoms are severe,Seek urgent medical care immediately and contact a Dermatologist if available.,Dermatologist
Multiple Myeloma,bone pain|fatigue|frequent urination|weakness|weight loss,consult a qualified doctor|drink fluids|rest,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Mumps,fever|headache|loss of appetite|swelling,consult a qualified doctor|drink fluids|rest,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Muscle Cramps,dehydration|swelling|weakness,consult a qualified doctor|drink fluids|rest,"Book a consultation with a Neurologist if symptoms persist, worsen, or interfere with daily life.",Neurologist
Myositis,fatigue|rash|weakness,consult a qualified doctor|rest|avoid scratching irritated areas|seek urgent medical care if symptoms are severe,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Pancreatitis,weight loss|oily stools|nausea|vomiting,consult a qualified doctor|drink fluids|rest,"Book a consultation with a Gastroenterologist if symptoms persist, worsen, or interfere with daily life.",Gastroenterologist
Plague,tender lymph glands|chills|fever,consult a qualified doctor|drink fluids|rest|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Polymyalgia Rheumatica,a hrefhttpsmedlineplus|blurred vision|fever|muscle pain|swelling|weakness|weight loss,consult a qualified doctor|drink fluids|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Porphyria,pain in the chest|constipation|itching|numbness|swelling|tingling|vomiting,consult a qualified doctor|drink fluids|rest|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Primary Ovarian Insufficiency,anxiety|blurred vision|depression,consult a qualified doctor|rest|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Pulmonary Embolism,chest pain|cough|fainting|high blood pressure|shortness of breath,consult a qualified doctor|rest|avoid scratching irritated areas|seek urgent medical care if symptoms are severe,Seek urgent medical care immediately and contact a Dermatologist if available.,Dermatologist
Rabies,confusion|fatigue|fever|headache,consult a qualified doctor|drink fluids|rest,"Book a consultation with a General Physician if symptoms persist, worsen, or interfere with daily life.",General Physician
Rashes,itching|rash|swelling,consult a qualified doctor|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Rickets,bone pain|impaired growth|deformities of the bones,consult a qualified doctor|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Sarcoidosis,blurred vision|chest pain|cough|depression|dizziness|eye pain|fatigue|fever|headache|joint pain|numbness|palpitations,consult a qualified doctor|drink fluids|rest|avoid scratching irritated areas|seek urgent medical care if symptoms are severe,Seek urgent medical care immediately and contact a Dermatologist if available.,Dermatologist
Shock,confusion|dehydration|diarrhea|vomiting,consult a qualified doctor|drink fluids|rest|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Smallpox,fatigue|fever|headache|rash,consult a qualified doctor|drink fluids|rest|avoid scratching irritated areas,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Spinal Muscular Atrophy,a hrefhttpsmedlineplus|tremor|weakness,consult a qualified doctor|rest|avoid scratching irritated areas|seek urgent medical care if symptoms are severe,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Sprains and Strains,muscle spasms|trouble moving the muscle|swelling,consult a qualified doctor|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Stress,anxiety|depression|headache|high blood pressure,consult a qualified doctor,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Sudden Cardiac Arrest,chest pain|fainting|high blood pressure|nausea|shortness of breath|vomiting,consult a qualified doctor|drink fluids|rest|avoid scratching irritated areas|seek urgent medical care if symptoms are severe,Seek urgent medical care immediately and contact a Dermatologist if available.,Dermatologist
Tick Bites,chills|fever|rash,consult a qualified doctor|drink fluids|rest|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Transient Ischemic Attack,from a tia|a stroke|confusion|dizziness|high blood pressure|numbness|weakness,consult a qualified doctor|seek urgent medical care if symptoms are severe,"Book a consultation with a Ophthalmologist if symptoms persist, worsen, or interfere with daily life.",Ophthalmologist
Traumatic Brain Injury,not getting better|if you have new symptoms|anxiety|blurred vision|confusion|depression|dizziness|fatigue|headache|nausea|numbness|seizures,consult a qualified doctor|drink fluids|rest|avoid scratching irritated areas|seek urgent medical care if symptoms are severe,Seek urgent medical care immediately and contact a Ophthalmologist if available.,Ophthalmologist
Whooping Cough,cough|fever|runny nose|sneezing|vomiting,consult a qualified doctor|drink fluids|rest|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Wilms Tumor,a lump in the abdomen|blood in the urine|a fever for no reason|fever,consult a qualified doctor|drink fluids,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Breast Diseases,itching|swelling,consult a qualified doctor|rest|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Cancer Alternative Therapies,nausea,consult a qualified doctor|drink fluids,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
Cervical Cancer,fatigue,consult a qualified doctor|rest|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Cervix Disorders,swelling,consult a qualified doctor|rest|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Down Syndrome,hearing loss,consult a qualified doctor|rest,"Book a consultation with a Ophthalmologist if symptoms persist, worsen, or interfere with daily life.",Ophthalmologist
Ear Disorders,dizziness,consult a qualified doctor|rest,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Eye Infections,itching|swelling,consult a qualified doctor|rest|avoid scratching irritated areas,"Book a consultation with a Dermatologist if symptoms persist, worsen, or interfere with daily life.",Dermatologist
Hearing Disorders and Deafness,hearing loss,consult a qualified doctor|rest,"Book a consultation with a ENT Specialist if symptoms persist, worsen, or interfere with daily life.",ENT Specialist
